Job Title,Salary,Link,City,Scrape Time
Повар-кассир,до 38 000 ₽,https://www.avito.ru/magnitogorsk/vakansii/povar-kassir_3460168469,"Челябинская область, Магнитогорск",28.09.2023
Работа без опыта официант,до 45 000 ₽,https://www.avito.ru/tyumen/vakansii/rabota_bez_opyta_ofitsiant_3459996112,"Тюменская область, Тюмень",28.09.2023
"Ночной сотрудник ""Вкусно - и точка""",до 51 000 ₽,https://www.avito.ru/naberezhnye_chelny/vakansii/nochnoy_sotrudnik_vkusno_-_i_tochka_3460296040,"Республика Татарстан, Набережные Челны",28.09.2023
Работник предприятия «Вкусно — и точка»,от 51 500 ₽,https://www.avito.ru/sankt-peterburg/vakansii/rabotnik_predpriyatiya_vkusno_i_tochka_3295021084,Санкт-Петербург,28.09.2023
"Сотрудник предприятия ""Вкусно - и точка""",до 40 000 ₽,https://www.avito.ru/cheboksary/vakansii/sotrudnik_predpriyatiya_vkusno_-_i_tochka_3364619822,"Чувашская Республика, Чебоксары",28.09.2023
"Ночной сотрудник ""Вкусно - и точка""",до 50 000 ₽,https://www.avito.ru/bugulma/vakansii/nochnoy_sotrudnik_vkusno_-_i_tochka_3395870777,"Республика Татарстан, Бугульминский р-н, муниципальное образование Бугульма, Бугульма",28.09.2023
"Ночной сотрудник ""Вкусно - и точка""",до 50 000 ₽,https://www.avito.ru/neftekamsk/vakansii/nochnoy_sotrudnik_vkusno_-_i_tochka_3396267415,"Республика Башкортостан, Нефтекамск",28.09.2023
"Ночной сотрудник ""Вкусно - и точка""",до 66 000 ₽,https://www.avito.ru/surgut/vakansii/nochnoy_sotrudnik_vkusno_-_i_tochka_3364261199,"Тюменская область, Сургут",28.09.2023
"Сотрудник предприятия ""Вкусно - и точка""",до 40 000 ₽,https://www.avito.ru/izhevsk/vakansii/sotrudnik_predpriyatiya_vkusno_-_i_tochka_3364574301,"Удмуртская Республика, Ижевск",28.09.2023
"Ночной сотрудник ""Вкусно - и точка""",до 52 000 ₽,https://www.avito.ru/orenburg/vakansii/nochnoy_sotrudnik_vkusno_-_i_tochka_3364092205,"Оренбургская область, Оренбург",28.09.2023
Ночной сотрудник «Вкусно – и точка»,до 52 000 ₽,https://www.avito.ru/almetevsk/vakansii/nochnoy_sotrudnik_vkusno_i_tochka_3396379654,"Республика Татарстан, Альметьевский р-н, муниципальное образование Альметьевск, Альметьевск",28.09.2023
"Ночной сотрудник ""Вкусно - и точка""",до 52 000 ₽,https://www.avito.ru/izhevsk/vakansii/nochnoy_sotrudnik_vkusno_-_i_tochka_3364207767,"Удмуртская Республика, Ижевск",28.09.2023
Повар рыбного цеха (Елизавет),от 70 000 ₽,https://www.avito.ru/ekaterinburg/vakansii/povar_rybnogo_tseha_elizavet_3356147719,"Свердловская область, Екатеринбург",28.09.2023
Сборщик заказов,до 55 000 ₽,https://www.avito.ru/sankt-peterburg/vakansii/sborschik_zakazov_3438295473,Санкт-Петербург,28.09.2023
Оператор производственной линии,60 000 — 90 000 ₽,https://www.avito.ru/naro-fominsk/vakansii/operator_proizvodstvennoy_linii_2801022583,"Московская область, Наро-Фоминский г.о., Наро-Фоминск",28.09.2023
Кассир оператор (АЗС 051 Видное),7 000 — 9 000 ₽ за смену,https://www.avito.ru/vidnoe/vakansii/kassir_operator_azs_051_vidnoe_3293778814,"Московская область, Ленинский г.о., Видное",28.09.2023
"Ночной сотрудник ""Вкусно - и точка""",до 50 000 ₽,https://www.avito.ru/elabuga/vakansii/nochnoy_sotrudnik_vkusno_-_i_tochka_3364095088,"Республика Татарстан, Елабужский р-н, муниципальное образование Елабуга, Елабуга",28.09.2023
"Сотрудник предприятия ""Вкусно - и точка""",до 45 000 ₽,https://www.avito.ru/ekaterinburg/vakansii/sotrudnik_predpriyatiya_vkusno_-_i_tochka_3460350202,"Свердловская область, Екатеринбург",28.09.2023
Оператор кассир АЗС,61 000 — 94 000 ₽,https://www.avito.ru/moskva/vakansii/operator_kassir_azs_3451283982,Москва,28.09.2023
"Сотрудник предприятия ""Вкусно - и точка""",до 45 000 ₽,https://www.avito.ru/ufa/vakansii/sotrudnik_predpriyatiya_vkusno_-_i_tochka_3364397219,"Республика Башкортостан, Уфа",28.09.2023
Сборщик упаковщик,60 000 — 90 000 ₽,https://www.avito.ru/sankt-peterburg/vakansii/sborschik_upakovschik_3285709911,Санкт-Петербург,28.09.2023
Оператор кассир АЗС,50 000 — 78 000 ₽,https://www.avito.ru/korolev/vakansii/operator_kassir_azs_3451251003,"Московская область, Королёв",28.09.2023
Менеджер/админиистратор ресторана,35 000 — 50 000 ₽,https://www.avito.ru/krasnodar/vakansii/menedzheradminiistrator_restorana_3345357659,"Краснодарский край, Краснодар",28.09.2023
Сканировщик торгового зала,28 350 — 31 500 ₽,https://www.avito.ru/samara/vakansii/skanirovschik_torgovogo_zala_3383768526,"Самарская область, Самара",28.09.2023
"Ночной сотрудник ""Вкусно - и точка""",до 50 000 ₽,https://www.avito.ru/kirovskaya_oblast_kirov/vakansii/nochnoy_sotrudnik_vkusno_-_i_tochka_3363692778,"Кировская область, Киров",28.09.2023
"Ночной сотрудник ""Вкусно - и точка""",до 60 000 ₽,https://www.avito.ru/ufa/vakansii/nochnoy_sotrudnik_vkusno_-_i_tochka_3459769715,"Республика Башкортостан, Уфа",28.09.2023
