vacancy,salary,href_link,city,worker,date
"Повар (без опыта, без образования)",от 40 000₽,https://www.farpost.ru/ussuriisk/rabota/vacansii/povar-bez-opyta-bez-obrazovanija-106744087.html?source=extended-feed,в Уссурийске,"... ""О персональных данных). ООО ВК Системс улица Некрасова 82б Бургер Кинг основан в Америке в 1954 году, он занимает второе по ...нас 3 ресторана. Приходи к нам и ЗАЖГИ КАРЬЕРУ в Burger King! Повар в Burger King Это реализация своих идей! Это скорость...ООО ВК Системс. Улица Некрасова 82б",04.10.2023
Кассир,от 40 000₽,https://www.farpost.ru/ussuriisk/rabota/vacansii/kassir-106744125.html?source=extended-feed,в Уссурийске,"... ""О персональных данных) ООО ВК Системс улица Некрасова 82б Бургер Кинг основан в Америке в 1954 году, он занимает второе по ...по франшизе. Мы ждем именно тебя! ЗАЖГИ СВОЮ КАРЬЕРУ C BURGER KING! Ты принимаешь активное участие в жизни ресторана! Ты учишься мыслить...ООО ВК Системс. Улица Некрасова 82б",04.10.2023
Ночной уборщик,35 000 – 45 000₽,https://www.farpost.ru/ussuriisk/rabota/vacansii/nochnoj-uborshik-106744120.html?source=extended-feed,в Уссурийске,"... ""О персональных данных) ООО ВК Системс улица Некрасова 82б Бургер Кинг основан в Америке в 1954 году, он занимает второе по ...ООО ВК Системс. Улица Некрасова 82б",04.10.2023
Уборщик,от 35 000₽,https://www.farpost.ru/ussuriisk/rabota/vacansii/uborshik-106744104.html?source=extended-feed,в Уссурийске,"... ""О персональных данных) ООО ВК Системс улица Некрасова 82б Бургер Кинг основан в Америке в 1954 году, он занимает второе по ...ООО ВК Системс. Улица Некрасова 82б",04.10.2023
Охранник,от 30 000₽,https://www.farpost.ru/ussuriisk/rabota/vacansii/ohrannik-85463729.html?source=extended-feed,в Уссурийске,"... ""О персональных данных) ООО ВК Системс улица Некрасова 82б Бургер Кинг основан в Америке в 1954 году, он занимает второе по ...ООО ВК Системс. Улица Некрасова 82б",04.10.2023
Менеджер ресторана,от 45 000₽,https://www.farpost.ru/ussuriisk/rabota/vacansii/menedzher-restorana-85851057.html?source=extended-feed,в Уссурийске,"... ""О персональных данных). ООО ВК Системс улица Некрасова 82б Бургер Кинг основан в Америке в 1954 году, он занимает второе по ...ООО ВК Системс. Улица Некрасова 82б",04.10.2023
Менеджер ресторана,до 50 000₽,https://www.farpost.ru/vladivostok/rabota/vacansii/menedzher-restorana-86019280.html,,ООО ВК Системс. Улица Семеновская 12,04.10.2023
Повар в ресторан Бургер Кинг,до 40 000₽,https://www.farpost.ru/vladivostok/rabota/vacansii/povar-v-restoran-burger-king-83980482.html,,ООО ВК Системс. Улица Светланская 56,04.10.2023
"Повар (без опыта, без образования)",от 30 000₽,https://www.farpost.ru/vladivostok/rabota/vacansii/povar-bez-opyta-bez-obrazovanija-38976005.html,,ООО ВК Системс. Улица Семеновская 12,04.10.2023
Ночной уборщик,,https://www.farpost.ru/vladivostok/rabota/vacansii/nochnoj-uborshik-84783710.html,,ООО ВК Системс. Улица Светланская 56,04.10.2023
Сотрудник кухни (без опыта),от 35 000₽,https://www.farpost.ru/vladivostok/rabota/vacansii/sotrudnik-kuhni-bez-opyta-86019383.html,,ООО ВК Системс. Улица Семеновская 12,04.10.2023
Специалист технической поддержки,от 50 000₽,https://www.farpost.ru/vladivostok/rabota/vacansii/specialist-tehnicheskoj-podderzhki-94424881.html,,"ООО РБ ""Системс"". Улица Батарейная 3а",04.10.2023
Менеджер по персоналу,от 40 000₽,https://www.farpost.ru/vladivostok/rabota/vacansii/menedzher-po-personalu-95514428.html,,"ООО РБ ""Системс"". Улица Батарейная 3а",04.10.2023
Администратор кафе,30 000 – 35 000₽,https://www.farpost.ru/vladivostok/rabota/vacansii/administrator-kafe-83574024.html,,ООО ВК Системс. Улица Семеновская 12,04.10.2023
"Повар (без опыта, без образования)",15 000 – 20 000₽,https://www.farpost.ru/vladivostok/rabota/vacansii/povar-bez-opyta-bez-obrazovanija-80967128.html,,ООО ВК Системс. Улица Семеновская 12,04.10.2023
Администратор ресторана,32 000 – 38 000₽,https://www.farpost.ru/vladivostok/rabota/vacansii/administrator-restorana-37435131.html,,ООО ВК СИСТЕМС. Улица Светланская 56,04.10.2023
Повар в Додо Пиццу с обучением,47 000₽,https://www.farpost.ru/vladivostok/rabota/vacansii/povar-v-dodo-piccu-s-obucheniem-102305851.html?source=extended-feed,во Владивостоке,ИП Троян Д.В. Улица Некрасовская 61а,04.10.2023
Повар холодного цеха в Додо Пиццу с обучением,от 44 000₽,https://www.farpost.ru/nakhodka/rabota/vacansii/povar-holodnogo-ceha-v-dodo-piccu-s-obucheniem-111840305.html?source=extended-feed,в Находке,ИП Троян Д.В. Проспект Находкинский 36,04.10.2023
Курьер в Додо Пиццу,107 000 – 138 000₽,https://www.farpost.ru/ussuriisk/rabota/vacansii/kurjer-v-dodo-piccu-107609421.html?source=extended-feed,в Уссурийске,ИП Троян Д.В. Улица Комсомольская 28,04.10.2023
Курьер в Додо Пиццу,128 000 – 170 000₽,https://www.farpost.ru/vladivostok/rabota/vacansii/kurjer-v-dodo-piccu-101318065.html?source=extended-feed,во Владивостоке,ИП Троян Д.В. Улица Некрасовская 61а,04.10.2023
Повар в Додо Пиццу с обучением,от 47 000₽,https://www.farpost.ru/vladivostok/rabota/vacansii/povar-v-dodo-piccu-s-obucheniem-111153641.html?source=extended-feed,во Владивостоке,ИП Троян Д.В. Улица Космонавтов 1 стр. 2,04.10.2023
Повар в Додо Пиццу с обучением,от 47 000₽,https://www.farpost.ru/ussuriisk/rabota/vacansii/povar-v-dodo-piccu-s-obucheniem-102305702.html?source=extended-feed,в Уссурийске,ИП Троян Д.В. Улица Комсомольская 28,04.10.2023
Курьер в Додо Пиццу,102 000 – 138 000₽,https://www.farpost.ru/nakhodka/rabota/vacansii/kurjer-v-dodo-piccu-80750050.html?source=extended-feed,в Находке,ИП Троян Д.В. Проспект Находкинский 36,04.10.2023
Кассир в Додо Пиццу с обучением,от 44 000₽,https://www.farpost.ru/nakhodka/rabota/vacansii/kassir-v-dodo-piccu-s-obucheniem-102305826.html?source=extended-feed,в Находке,ИП Троян Д.В. Проспект Находкинский 36,04.10.2023
Кассир в Додо Пиццу с обучением,47 000₽,https://www.farpost.ru/vladivostok/rabota/vacansii/kassir-v-dodo-piccu-s-obucheniem-102305850.html?source=extended-feed,во Владивостоке,ИП Троян Д.В. Улица Калинина 8,04.10.2023
Кассир в Додо Пиццу с обучением,от 47 000₽,https://www.farpost.ru/vladivostok/rabota/vacansii/kassir-v-dodo-piccu-s-obucheniem-111153680.html?source=extended-feed,во Владивостоке,ИП Троян Д.В. Улица Космонавтов 1 стр. 2,04.10.2023
Кассир в Додо Пиццу с обучением,от 47 000₽,https://www.farpost.ru/ussuriisk/rabota/vacansii/kassir-v-dodo-piccu-s-obucheniem-101479364.html?source=extended-feed,в Уссурийске,ИП Троян Д.В. Улица Комсомольская 28,04.10.2023
Повар в Додо Пиццу с обучением,от 44 000₽,https://www.farpost.ru/nakhodka/rabota/vacansii/povar-v-dodo-piccu-s-obucheniem-102305843.html?source=extended-feed,в Находке,ИП Троян Д.В. Проспект Находкинский 36,04.10.2023
