vacancy,skill
50829116,Работа в команде
50829116,Грамотная речь
50829116,Работа в режиме многозадачности
50829116,Работа с людьми
50829116,обучаемость
72300549,Контроль сроков годности
72300549,Работа в команде
72300549,Проведение инвентаризаций
72300549,Общественное питание
72300549,Многозадачность
72300549,Желание обучаться
73730157,Работа в команде
73730157,Грамотная речь
73730157,Умение работать в команде
73730157,Гостиницы
73730157,уборка
73730157,чистоплотность
73730157,Работа с людьми
73730157,Дружелюбность
73730157,Уборка
73730157,Опрятность
77629988,Работа в команде
77629988,Грамотная речь
80177250,Работа в команде
80177250,Работа с кассой
80177250,Пользователь ПК
80177250,Общественное питание
80177250,Навыки работы с возражениями
80177250,фастфуд
80177250,Ресторанный менеджмент
80177250,кафе
80177250,подработка
80177250,Грамотная речь
80177250,Обслуживание покупателей
80177250,неполный день
80177250,гибкий график
80177250,Работа с людьми
80177250,kfc
80177250,работа в зале
80177250,сфера обслуживания
80177250,бургер кинг
80177250,вкусно и точка
80177250,кфс
80485123,Общественное питание
80485123,Работа в команде
80485123,Работа с кассой
80973123,Пользователь ПК
80973123,Работа в команде
80973123,Грамотная речь
80973123,Навыки продаж
80973123,Розничная торговля
81862053,Технологии производства блюд
81862053,Приготовление блюд
81862053,Контроль сроков годности
81862053,Учет остатков
81862053,Общественное питание
81862053,Дружелюбность
81862053,технологические карты
81862053,Чистоплотность
81862053,Работа в команде
81862053,Инвентаризация
81893645,Контроль сроков годности
81893645,Работа в команде
81893645,Проведение инвентаризаций
81893645,Общественное питание
81893645,Дружелюбность
81893645,Многозадачность
81896576,Грамотная речь
81896576,Работа в команде
81896576,Навыки продаж
81896576,Активные продажи
81896576,Деловое общение
81896576,Обслуживание покупателей
81896576,Клиентоориентированность
81985827,Работа в команде
81985827,Работа с кассой
81985827,Пользователь ПК
81985827,Общественное питание
81985827,Навыки работы с возражениями
81985827,фастфуд
81985827,Ресторанный менеджмент
81985827,кафе
81985827,подработка
81985827,Грамотная речь
81985827,Обслуживание покупателей
81985827,неполный день
81985827,гибкий график
81985827,Работа с людьми
81985827,kfc
81985827,работа в зале
81985827,сфера обслуживания
81985827,бургер кинг
81985827,вкусно и точка
81985827,кфс
82114000,Пользователь ПК
82114000,Работа в команде
82114000,Грамотная речь
82114000,Навыки продаж
82114000,Розничная торговля
82954200,Грамотная устная и письменная речь
82954200,Внимательность
82954200,Аккуратность
83179361,Работа в команде
83179361,Работа с кассой
83179361,Пользователь ПК
83179361,Общественное питание
83179361,Навыки работы с возражениями
83179361,фастфуд
83179361,Ресторанный менеджмент
83179361,кафе
83179361,подработка
83179361,Грамотная речь
83179361,Обслуживание покупателей
83179361,неполный день
83179361,гибкий график
83179361,Работа с людьми
83179361,kfc
83179361,работа в зале
83179361,сфера обслуживания
83179361,бургер кинг
83179361,вкусно и точка
83179361,кфс
83503448,Грамотная речь
83503448,Работа в команде
83503448,Пользователь ПК
83503448,Обучение и развитие
84078009,Системный аналитик
84078009,JSON API
84078009,YAML
84078009,Swagger
84078009,Postman
84713571,Автомобильные перевозки
84713571,Личный автомобиль
84713571,Экспедирование
84713571,Организация хранения документации
84713571,"Администрирование приема, перевода и увольнения сотрудников"
84714710,Автомобильные перевозки
84714710,Личный автомобиль
84714710,Экспедирование
84714710,Организация хранения документации
84714710,"Администрирование приема, перевода и увольнения сотрудников"
85626710,Работа в команде
85626710,Дружелюбность
85626710,Материальная ответственность
85626710,Грамотная речь
85635528,Работа в команде
85635528,iiko
