id,name,description
,,
43241220,Менеджер ресторана (м. Орехово),"<p>Компания БУРГЕР КИНГ РОССИЯ приглашает в команду <strong>Менеджера ресторана</strong>.</p> <p> </p> <p>Немного о нас:</p> <p>Бургер Кинг работает на свою идеальную репутацию с 1954 года.</p> <p>Наши рестораны представлены в 80 странах мира. На данный момент в России уже открыто более 700 ресторанов, и мы на этом не останавливаемся!</p> <p> </p> <p>Если ты присоединишься к нам на позицию в ресторан, ты никогда не будешь испытывать нехватку возможностей, чтобы проявить себя!</p> <p> </p> <p> </p> <p><strong>МЫ СТРОИМ КАРЬЕРУ СО ВКУСОМ, МЫ ЖИВЕМ С ОГНЕМ В СЕРДЦЕ!</strong></p> <p> </p> <p><strong>Новым сотрудником нашей Команды Мечты можешь стать ты, если у тебя:</strong></p> <ul> <li><strong>Б</strong>лестящие коммуникативные навыки;</li> </ul> <ul> <li><strong>У</strong>спешный опыт работы в сфере общепит (желательно фаст-фуд) на позиции менеджера/администратора от 1 года;</li> <li><strong>Р</strong>азвитый уровень организованности;</li> <li><strong>Г</strong>отовность работать в режиме многофункциональности;</li> <li><strong>Е</strong>ще и активность; мобильность; оперативность; ответственность, доброжелательность;</li> <li><strong>Р</strong>еальный позитивный настрой.</li> </ul> <p> </p> <p><strong>Тебе предстоит решать следующие задачи:</strong></p> <ul> <li>Организация работы ресторана (управление сменой);</li> <li>Контроль соблюдения технологических процессов;</li> <li>Контроль соблюдения стандартов компании и санитарных норм.</li> </ul> <p> </p> <p><strong>Мы предлагаем тебе:</strong></p> <p> </p> <ul> <li>Гордиться собой: работа в крупной международной компании;</li> <li>Находиться в команде лучших: сплоченный коллектив единомышленников;</li> <li>Быть уверенным в завтрашнем дне: оформление по ТК РФ, белая заработная плата; (оклад + ежемесячные и ежеквартальные премии)</li> <li>Заботиться о себе: униформа, вкусное питание;</li> <li>Развиваться вместе с нами: стремительный карьерный рост и постоянное профессиональное развитие;</li> <li>Решать интересные задачи: участие в реализации федеральных проектов компании;</li> <li>Работать рядом с домом по графику: 5/2 (смены: утро, день, вечер, ночь), выходные плавающие.</li> </ul> <p> </p> <p> </p> <p><strong>ПОЛУЧАЙ УДОВОЛЬСТВИЕ ОТ СВОЕЙ РАБОТЫ ВМЕСТЕ С НАМИ!</strong></p>"
,,
,,
,,
50829116,Повар/Пиццамейкер (м. Ладожская/ м. Новочеркасская),"<p><em>Чтобы прийти на работу в Додо, вам не нужно специальное образование или опыт работы — мы научим всему, что вам потребуется.</em></p> <p><strong>Пиццамейкер</strong> — главный эксперт по пицце. Он знает, как идеально раскатать тесто и помнит наизусть все рецепты.</p> <p><strong>Обязанности пиццамейкера:</strong></p> <ul> <li>Приготовление блюд из меню пиццерии;</li> <li>Соблюдение технологий, стандартов и рецептур приготовления;</li> <li>Приготовление заготовок;</li> <li>Работа в соответствии со стандартами компании;</li> <li>Соблюдение чистоты на рабочем месте, инвентаря и оборудования согласно санитарным нормам.</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Умение работать в коллективе;</li> <li>Доброжелательность, коммуникабельность, ответственность;</li> <li>Любовь к чистоте и порядку.</li> </ul> <p><strong>Мы гарантируем:</strong></p> <ul> <li>Оформление в соответствии с ТК РФ;</li> <li>З/П с первого дня стажировки;</li> <li>Ставка <strong>до 240 рублей/час + премии</strong>;</li> <li><strong>Приветственный бонус - 3000 рублей</strong> каждому новому работнику (информация в отделе персонала);</li> <li>Бонус по <strong>Акции &quot;Приведи друга&quot;- 7000 рублей;</strong></li> <li>Отсутствие штрафов;</li> <li>Работа в удобном для Вас графике;</li> <li>Бесплатное питание на смене;</li> <li>Бесплатная форма;</li> <li>Компенсация медицинской книжки;</li> <li><strong>Реальная возможность карьерного и профессионально роста.</strong></li> </ul> <p>Если начнете работать в Додо, сначала вы пройдете обучение со стажировкой и потом приступите к полноценной работе. С первого дня обучения вы будете получать зарплату, а с обучением поможет инструктор, который всё расскажет и познакомит с командой.</p> <p>Адреса пиццерий:<br />- Брантовская дорога, 3 (ТРЦ Охта Молл);<br /><strong>- </strong>пр-кт Энергетиков 39/41 (ТЦ Метрика)<br />- пр-кт Косыгина, 30, к1 (ТЦ Зебра);<br />- Заневский проспект д. 67 к.2 / д.71 (ТРК Заневский Каскад).</p> <p>Эта вакансия подойдет, если тебя интересует: работа, подработка, работа рядом с домом, работа в KFC, Макдоналдс, Бургер Кинг, Теремок, Subway, Domino&#39;s Pizza, Додо Пицца, ресторан, кафе, пиццамейкер, работник пбо, сотрудник кухни, официант, кассир, повар, работа у метро, работа без опыта, гибкий график, бариста , пекарня</p>"
,,
,,
,,
,,
